HOG	OG	Gene Tree Parent Clade	Aar	Ath	Chi	Cru	Tar
N0.HOG0012135	OG0010085	n0	Aa31LG2G21010	AT4G29420.1	CARHR237240.1	Carub.0007s1112.1.p	gene-TAV2_LOCUS23581
N0.HOG0012136	OG0010086	n0	Aa31LG2G21030	AT4G29400.1	CARHR237220.1	Carub.0007s1114.1.p	gene-TAV2_LOCUS24961
N0.HOG0012137	OG0010087	n0	Aa31LG2G21070	AT4G29380.1	CARHR237190.1	Carub.0007s1117.1.p	gene-TAV2_LOCUS24959
N0.HOG0012138	OG0010088	n0	Aa31LG2G21090	AT4G29360.2	CARHR237150.1	Carub.0007s1120.1.p	gene-TAV2_LOCUS22781
N0.HOG0012139	OG0010089	n0	Aa31LG2G21130	AT4G29330.1	CARHR237120.1	Carub.0007s1123.1.p	gene-TAV2_LOCUS22664
N0.HOG0012140	OG0010090	n0	Aa31LG2G21140	AT4G29310.1	CARHR237110.1	Carub.0007s1124.1.p	gene-TAV2_LOCUS22663
N0.HOG0012141	OG0010091	n0	Aa31LG2G21280	AT1G77170.1	CARHR070660.1	Carub.0002s2405.1.p	gene-TAV2_LOCUS18154
N0.HOG0012142	OG0010092	n0	Aa31LG2G21300	AT4G28950.1	CARHR236700.1	Carub.0007s1167.1.p	gene-TAV2_LOCUS23095
N0.HOG0012143	OG0010093	n0	Aa31LG2G21310	AT4G28980.2	CARHR236710.1	Carub.0007s1166.1.p	gene-TAV2_LOCUS23094
N0.HOG0012144	OG0010094	n0	Aa31LG2G21340	AT4G29010.1	CARHR236740.1	Carub.0007s1163.1.p	gene-TAV2_LOCUS26027
N0.HOG0012145	OG0010095	n0	Aa31LG2G21350	AT4G29020.1	CARHR236750.1	Carub.0007s1162.1.p	gene-TAV2_LOCUS26026
N0.HOG0012146	OG0010096	n0	Aa31LG2G21380	AT4G29070.2	CARHR236810.1	Carub.0007s1152.1.p	gene-TAV2_LOCUS25410
N0.HOG0012147	OG0010097	n0	Aa31LG2G21390	AT4G29080.1	CARHR236820.1	Carub.0007s1151.1.p	gene-TAV2_LOCUS25407
N0.HOG0012148	OG0010098	n0	Aa31LG2G21400	AT4G29100.1	CARHR236830.1	Carub.0007s1150.1.p	gene-TAV2_LOCUS25408
N0.HOG0012149	OG0010099	n0	Aa31LG2G21410	AT4G29110.1	CARHR236840.1	Carub.0007s1149.1.p	gene-TAV2_LOCUS25875
N0.HOG0012150	OG0010100	n0	Aa31LG2G21440	AT4G29140.1	CARHR236870.1	Carub.0007s1145.1.p	gene-TAV2_LOCUS24066
N0.HOG0012151	OG0010101	n0	Aa31LG2G21450	AT4G29150.1	CARHR236880.1	Carub.0007s1144.1.p	gene-TAV2_LOCUS24065
N0.HOG0012152	OG0010102	n0	Aa31LG2G21460, Aa31LG6G660	AT4G17910.4	CARHR224640.1	Carub.0007s2343.1.p	
N0.HOG0012153	OG0010103	n0	Aa31LG2G21480	AT4G29170.1	CARHR236900.1	Carub.0007s1142.1.p	gene-TAV2_LOCUS24064
N0.HOG0012154	OG0010104	n0	Aa31LG2G21500, Aa31LG7G4270	AT1G19690.1	CARHR020210.1	Carub.0001s1923.1.p	
N0.HOG0012155	OG0010105	n0	Aa31LG2G21530	AT4G28850.1	CARHR236640.1	Carub.0007s1179.1.p	gene-TAV2_LOCUS24763
N0.HOG0012156	OG0010106	n0	Aa31LG2G21550	AT4G29060.1	CARHR236800.1	Carub.0007s1153.1.p	gene-TAV2_LOCUS25409
N0.HOG0012157	OG0010107	n0	Aa31LG2G21560	AT4G28830.1	CARHR236620.1	Carub.0007s1181.1.p	gene-TAV2_LOCUS24766
N0.HOG0012158	OG0010108	n0	Aa31LG2G21570	AT4G28820.3	CARHR236610.1	Carub.0007s1182.1.p	gene-TAV2_LOCUS24693
N0.HOG0012159	OG0010109	n0	Aa31LG2G21600	AT4G28770.2	CARHR236560.1	Carub.0007s1187.1.p	gene-TAV2_LOCUS24768
N0.HOG0012160	OG0010110	n0	Aa31LG2G21650	AT4G28720.1	CARHR236510.1	Carub.0007s1192.1.p	gene-TAV2_LOCUS25555
N0.HOG0012161	OG0010111	n0	Aa31LG2G21670	AT4G28706.4	CARHR236490.1	Carub.0007s1194.1.p	gene-TAV2_LOCUS25565
N0.HOG0012162	OG0010112	n0	Aa31LG2G21720	AT4G28660.2	CARHR236440.1	Carub.0007s1200.1.p	gene-TAV2_LOCUS24459
N0.HOG0012163	OG0010113	n0	Aa31LG2G21730	AT4G28650.1	CARHR236430.1	Carub.0007s1201.1.p	gene-TAV2_LOCUS24436
N0.HOG0012164	OG0010114	n0	Aa31LG2G21740	AT4G28640.2	CARHR236420.1	Carub.0007s1202.1.p	gene-TAV2_LOCUS23661
N0.HOG0012165	OG0010115	n0	Aa31LG2G21760	AT4G28600.3	CARHR236390.1	Carub.0007s1205.1.p	gene-TAV2_LOCUS23659
N0.HOG0012166	OG0010116	n0	Aa31LG2G21780	AT4G28590.1	CARHR236380.1	Carub.0007s1208.1.p	gene-TAV2_LOCUS23663
N0.HOG0012167	OG0010117	n0	Aa31LG2G21800	AT4G28570.1	CARHR236360.1	Carub.0007s1210.1.p	gene-TAV2_LOCUS23283
N0.HOG0012168	OG0010118	n0	Aa31LG2G21810	AT4G28560.1	CARHR236350.1	Carub.0007s1211.1.p	gene-TAV2_LOCUS25582
N0.HOG0012169	OG0010119	n0	Aa31LG2G21860	AT4G28540.1	CARHR236320.1	Carub.0007s1214.1.p	gene-TAV2_LOCUS22848
N0.HOG0012170	OG0010120	n0	Aa31LG2G21870	AT1G69770.1	CARHR062840.1	Carub.0002s1645.1.p	gene-TAV2_LOCUS8118
N0.HOG0012171	OG0010121	n0	Aa31LG2G21880	AT2G18760.3	CARHR109360.1	Carub.0003s3303.1.p	gene-TAV2_LOCUS22847
N0.HOG0012172	OG0010122	n0	Aa31LG2G21900	AT4G28520.1	CARHR236300.1	Carub.0007s1216.1.p	gene-TAV2_LOCUS22850
N0.HOG0012173	OG0010123	n0	Aa31LG2G21940	AT4G28485.2	CARHR236260.1	Carub.0007s1221.1.p	gene-TAV2_LOCUS25339
N0.HOG0012174	OG0010124	n0	Aa31LG2G21970	AT4G28450.1	CARHR236220.1	Carub.0007s1225.1.p	gene-TAV2_LOCUS23546
N0.HOG0012175	OG0010125	n0	Aa31LG2G21990, Aa31LG2G22270	AT4G28405.1, AT1G52415.1		Carub.0007s1230.1.p	
N0.HOG0012176	OG0010126	n0	Aa31LG2G22040	AT4G28140.1	CARHR235850.1	Carub.0007s1263.1.p	gene-TAV2_LOCUS24938
N0.HOG0012177	OG0010127	n0	Aa31LG2G22060	AT4G28190.2	CARHR235900.1	Carub.0007s1257.1.p	gene-TAV2_LOCUS22484
N0.HOG0012178	OG0010128	n0	Aa31LG2G22070	AT4G28210.1	CARHR235920.1	Carub.0007s1255.1.p	gene-TAV2_LOCUS23147
N0.HOG0012179	OG0010129	n0	Aa31LG2G22090	AT4G28230.1	CARHR235940.1	Carub.0007s1253.1.p	gene-TAV2_LOCUS22485
N0.HOG0012180	OG0010130	n0	Aa31LG2G22150	AT4G28270.1	CARHR235980.1	Carub.0007s1249.1.p	gene-TAV2_LOCUS23303
N0.HOG0012181	OG0010131	n0	Aa31LG3G10	AT3G12640.3	CARHR087150.1	Carub.0003s1199.1.p	gene-TAV2_LOCUS11058
N0.HOG0012182	OG0010132	n0	Aa31LG3G30	AT3G12620.2	CARHR087130.1	Carub.0003s1197.1.p	gene-TAV2_LOCUS11059
N0.HOG0012183	OG0010133	n0	Aa31LG3G40	AT3G12600.1	CARHR087110.1	Carub.0003s1195.1.p	gene-TAV2_LOCUS10654
N0.HOG0012184	OG0010134	n0	Aa31LG3G60	AT3G12590.1	CARHR087100.1	Carub.0003s1194.1.p	gene-TAV2_LOCUS11060
N0.HOG0012185	OG0010135	n0	Aa31LG3G90	AT3G12560.2	CARHR087060.1	Carub.0003s1190.1.p	gene-TAV2_LOCUS10655
N0.HOG0012186	OG0010136	n0	Aa31LG3G100	AT3G12550.2	CARHR087050.1	Carub.0003s1189.1.p	gene-TAV2_LOCUS11061
N0.HOG0012187	OG0010137	n0	Aa31LG3G110	AT3G12540.1	CARHR087040.1	Carub.0003s1187.1.p	gene-TAV2_LOCUS10656
N0.HOG0012188	OG0010138	n0	Aa31LG3G140	AT2G21440.1	CARHR112350.1	Carub.0004s0049.1.p	gene-TAV2_LOCUS13314
N0.HOG0012189	OG0010139	n0	Aa31LG3G160	AT4G28025.1	CARHR235720.1	Carub.0007s1277.1.p	gene-TAV2_LOCUS24606
N0.HOG0012190	OG0010140	n0	Aa31LG3G180	AT4G25780.1	CARHR233230.1	Carub.0007s1518.1.p	gene-TAV2_LOCUS25826
N0.HOG0012191	OG0010141	n0	Aa31LG3G210	AT4G25830.1	CARHR233280.1	Carub.0007s1513.1.p	gene-TAV2_LOCUS23558
N0.HOG0012192	OG0010142	n0	Aa31LG3G240	AT4G25845.1	CARHR233310.1	Carub.0007s1510.1.p	gene-TAV2_LOCUS23229
N0.HOG0012193	OG0010143	n0	Aa31LG3G270	AT4G25880.4	CARHR233350.1	Carub.0007s1507.1.p	gene-TAV2_LOCUS23211
N0.HOG0012194	OG0010144	n0	Aa31LG3G290, Aa31LG3G300	AT4G25910.1	CARHR233380.1	Carub.0007s1504.1.p	
N0.HOG0012195	OG0010145	n0	Aa31LG3G320	AT4G25950.1	CARHR233460.1	Carub.0007s1500.1.p	gene-TAV2_LOCUS24569
N0.HOG0012196	OG0010146	n0	Aa31LG3G360	AT4G26000.1	CARHR233510.1	Carub.0007s1495.1.p	gene-TAV2_LOCUS24573
N0.HOG0012197	OG0010147	n0	Aa31LG3G380	AT4G26020.2	CARHR233540.1	Carub.0007s1493.1.p	gene-TAV2_LOCUS22550
N0.HOG0012198	OG0010148	n0	Aa31LG3G390	AT4G26050.1	CARHR233550.1	Carub.0007s1491.1.p	gene-TAV2_LOCUS22551
N0.HOG0012199	OG0010149	n0	Aa31LG3G420, Aa31LG3G12960	AT4G26060.1	CARHR233570.1	Carub.0007s1489.1.p	
N0.HOG0012200	OG0010150	n0	Aa31LG3G460	AT4G26080.1	CARHR233590.1	Carub.0007s1487.1.p	gene-TAV2_LOCUS22548
N0.HOG0012201	OG0010151	n0	Aa31LG3G500	AT4G26090.1	CARHR233600.1	Carub.0007s1486.1.p	gene-TAV2_LOCUS22549
N0.HOG0012202	OG0010152	n0	Aa31LG3G510	AT4G26130.1	CARHR233650.1	Carub.0007s1482.1.p	gene-TAV2_LOCUS22545
N0.HOG0012203	OG0010153	n0	Aa31LG3G530	AT4G26150.1	CARHR233670.1	Carub.0007s1480.1.p	gene-TAV2_LOCUS23934
N0.HOG0012204	OG0010154	n0	Aa31LG3G540	AT4G26170.1	CARHR233700.1	Carub.0007s1478.1.p	gene-TAV2_LOCUS23928
N0.HOG0012205	OG0010155	n0	Aa31LG3G550	AT4G26180.1	CARHR233710.1	Carub.0007s1477.1.p	gene-TAV2_LOCUS23927
N0.HOG0012206	OG0010156	n0	Aa31LG3G560	AT4G26200.1	CARHR233740.1	Carub.0007s1475.1.p	gene-TAV2_LOCUS23933
N0.HOG0012207	OG0010157	n0	Aa31LG3G590	AT5G36880.2	CARHR216250.1	Carub.0007s3210.1.p	gene-TAV2_LOCUS23864
N0.HOG0012208	OG0010158	n0	Aa31LG3G600	AT4G26240.1	CARHR233790.1	Carub.0007s1471.1.p	gene-TAV2_LOCUS25254
N0.HOG0012209	OG0010159	n0	Aa31LG3G760	AT2G41250.1	CARHR136340.1	Carub.0004s2357.1.p	gene-TAV2_LOCUS12924
N0.HOG0012210	OG0010160	n0	Aa31LG3G810	AT2G41190.1	CARHR136280.1	Carub.0004s2350.1.p	gene-TAV2_LOCUS13633
N0.HOG0012211	OG0010161	n0	Aa31LG3G960	AT2G41120.1	CARHR136210.1	Carub.0004s2343.1.p	gene-TAV2_LOCUS13631
N0.HOG0012212	OG0010162	n0	Aa31LG3G1000	AT2G41050.3	CARHR136160.1	Carub.0004s2337.1.p	gene-TAV2_LOCUS12597
N0.HOG0012213	OG0010163	n0	Aa31LG3G1010	AT2G41020.1	CARHR136140.1	Carub.0004s2335.1.p	gene-TAV2_LOCUS12595
N0.HOG0012214	OG0010164	n0	Aa31LG3G1020	AT2G41000.2	CARHR136120.1	Carub.0004s2333.1.p	gene-TAV2_LOCUS12592
N0.HOG0012215	OG0010165	n0	Aa31LG3G1030	AT2G40990.1	CARHR136100.1	Carub.0004s2331.1.p	gene-TAV2_LOCUS12593
N0.HOG0012216	OG0010166	n0	Aa31LG3G1110	AT2G40930.2	CARHR136040.1	Carub.0004s2323.1.p	gene-TAV2_LOCUS12896
N0.HOG0012217	OG0010167	n0	Aa31LG3G1230	AT2G40880.1	CARHR135990.1	Carub.0004s2319.1.p	gene-TAV2_LOCUS12902
N0.HOG0012218	OG0010168	n0	Aa31LG3G1240	AT2G40860.1	CARHR135980.1	Carub.0004s2318.1.p	gene-TAV2_LOCUS12901
N0.HOG0012219	OG0010169	n0	Aa31LG3G1260	AT2G40840.1	CARHR135960.1	Carub.0004s2316.1.p	gene-TAV2_LOCUS12900
N0.HOG0012220	OG0010170	n0	Aa31LG3G1350	AT2G40780.1	CARHR135880.1	Carub.0004s2308.1.p	gene-TAV2_LOCUS14566
N0.HOG0012221	OG0010171	n0	Aa31LG3G1400	AT2G40750.1	CARHR135840.1	Carub.0004s2303.1.p	gene-TAV2_LOCUS14658
N0.HOG0012222	OG0010172	n0	Aa31LG3G1410	AT2G40730.1	CARHR135820.1	Carub.0004s2301.1.p	gene-TAV2_LOCUS14659
N0.HOG0012223	OG0010173	n0	Aa31LG3G1430	AT2G40700.1	CARHR135800.1	Carub.0004s2299.1.p	gene-TAV2_LOCUS14660
N0.HOG0012224	OG0010174	n0	Aa31LG3G1440, Aa31LG3G4600	AT2G40690.1	CARHR135790.1	Carub.0004s2298.1.p	
N0.HOG0012225	OG0010175	n0	Aa31LG3G1460	AT2G40660.1	CARHR135770.1	Carub.0004s2295.1.p	gene-TAV2_LOCUS14955
N0.HOG0012226	OG0010176	n0	Aa31LG3G1470	AT2G40650.1	CARHR135760.1	Carub.0004s2294.1.p	gene-TAV2_LOCUS14954
N0.HOG0012227	OG0010177	n0	Aa31LG3G1480, Aa31sc319G120	AT2G40640.1	CARHR135750.1	Carub.0004s2293.1.p	
N0.HOG0012228	OG0010178	n0	Aa31LG3G1490	AT2G40630.1	CARHR135740.1	Carub.0004s2292.1.p	gene-TAV2_LOCUS14956
N0.HOG0012229	OG0010179	n0	Aa31LG3G1500	AT2G40620.1	CARHR135730.1	Carub.0004s2291.1.p	gene-TAV2_LOCUS14958
N0.HOG0012230	OG0010180	n0	Aa31LG3G1530	AT2G40570.1	CARHR135670.1	Carub.0004s2284.1.p	gene-TAV2_LOCUS106
N0.HOG0012231	OG0010181	n0	Aa31LG3G1550	AT3G09010.1	CARHR083350.1	Carub.0003s0814.1.p	gene-TAV2_LOCUS9704
N0.HOG0012232	OG0010182	n0	Aa31LG3G1560	AT3G09030.1	CARHR083370.1	Carub.0003s0816.1.p	gene-TAV2_LOCUS9705
N0.HOG0012233	OG0010183	n0	Aa31LG3G1580	AT3G09050.1	CARHR083410.1	Carub.0003s0821.1.p	gene-TAV2_LOCUS9706
N0.HOG0012234	OG0010184	n0	Aa31LG3G1590	AT3G09060.1	CARHR083420.1	Carub.0003s0822.1.p	gene-TAV2_LOCUS9708
N0.HOG0012235	OG0010185	n0	Aa31LG3G1600	AT3G09070.1	CARHR083430.1	Carub.0003s0823.1.p	gene-TAV2_LOCUS11021
N0.HOG0012236	OG0010186	n0	Aa31LG3G1610	AT3G09080.3	CARHR083450.1	Carub.0003s0824.1.p	gene-TAV2_LOCUS11786
N0.HOG0012237	OG0010187	n0	Aa31LG3G1620	AT3G09090.1	CARHR083470.1	Carub.0003s0826.1.p	gene-TAV2_LOCUS10792
N0.HOG0012238	OG0010188	n0	Aa31LG3G1640, Aa31LG3G1650	AT3G09140.1	CARHR083500.1, CARHR107120.1		
N0.HOG0012239	OG0010189	n0	Aa31LG3G1660	AT3G09150.2	CARHR083510.1	Carub.0003s0829.1.p	gene-TAV2_LOCUS10794
N0.HOG0012240	OG0010190	n0	Aa31LG3G1690	AT3G09210.1	CARHR083550.1	Carub.0003s0832.1.p	gene-TAV2_LOCUS10796
N0.HOG0012241	OG0010191	n0	Aa31LG3G1700	AT3G09220.1	CARHR083560.1	Carub.0003s0833.1.p	gene-TAV2_LOCUS10799
N0.HOG0012242	OG0010192	n0	Aa31LG3G1710	AT3G09230.1	CARHR083570.1	Carub.0003s0834.1.p	gene-TAV2_LOCUS10798
N0.HOG0012243	OG0010193	n0	Aa31LG3G1740	AT3G09250.2	CARHR083600.1	Carub.0003s0836.1.p	gene-TAV2_LOCUS10437
N0.HOG0012244	OG0010194	n0	Aa31LG3G1770	AT3G09270.1	CARHR083630.1	Carub.0003s0838.1.p	gene-TAV2_LOCUS10431
N0.HOG0012245	OG0010195	n0	Aa31LG3G1800	AT3G09310.1	CARHR083670.1	Carub.0003s0842.1.p	gene-TAV2_LOCUS10433
N0.HOG0012246	OG0010196	n0	Aa31LG3G1820	AT3G09320.1	CARHR083680.1	Carub.0003s0844.1.p	gene-TAV2_LOCUS10435
N0.HOG0012247	OG0010197	n0	Aa31LG3G1840	AT3G09350.1	CARHR083710.1	Carub.0003s0846.1.p	gene-TAV2_LOCUS10375
N0.HOG0012248	OG0010198	n0	Aa31LG3G1950	AT3G09450.1	CARHR083860.1	Carub.0003s0855.1.p	gene-TAV2_LOCUS11595
N0.HOG0012249	OG0010199	n0	Aa31LG3G1980	AT3G09520.1	CARHR083910.1	Carub.0003s0861.1.p	gene-TAV2_LOCUS10556
N0.HOG0012250	OG0010200	n0	Aa31LG3G1990	AT3G09540.1	CARHR083950.1	Carub.0003s0863.1.p	gene-TAV2_LOCUS11639
N0.HOG0012251	OG0010201	n0	Aa31LG3G2000	AT3G09550.2	CARHR083960.1	Carub.0003s0864.1.p	gene-TAV2_LOCUS10554
N0.HOG0012252	OG0010202	n0	Aa31LG3G2040	AT3G09600.7	CARHR084010.1	Carub.0003s0870.1.p	gene-TAV2_LOCUS10466
N0.HOG0012253	OG0010203	n0	Aa31LG3G2080	AT3G09660.1	CARHR084070.1	Carub.0003s0875.1.p	gene-TAV2_LOCUS10469
N0.HOG0012254	OG0010204	n0	Aa31LG3G2090	AT3G09670.1	CARHR084090.1	Carub.0003s0876.1.p	gene-TAV2_LOCUS10471
N0.HOG0012255	OG0010205	n0	Aa31LG3G2150	AT3G09720.1	CARHR084140.1	Carub.0003s0881.1.p	gene-TAV2_LOCUS9228
N0.HOG0012256	OG0010206	n0	Aa31LG3G2160	AT3G09730.3	CARHR084150.1	Carub.0003s0882.1.p	gene-TAV2_LOCUS9225
N0.HOG0012257	OG0010207	n0	Aa31LG3G2330	AT3G09860.1	CARHR084370.1	Carub.0003s0895.1.p	gene-TAV2_LOCUS10010
N0.HOG0012258	OG0010208	n0	Aa31LG3G2350	AT3G22680.1	CARHR098560.1	Carub.0003s2284.1.p	gene-TAV2_LOCUS10942
N0.HOG0012259	OG0010209	n0	Aa31LG3G2400	AT3G09920.1	CARHR084430.1	Carub.0003s0902.1.p	gene-TAV2_LOCUS11553
N0.HOG0012260	OG0010210	n0	Aa31LG3G2410	AT3G09925.1	CARHR084450.1	Carub.0003s0903.1.p	gene-TAV2_LOCUS10177
N0.HOG0012261	OG0010211	n0	Aa31LG3G2420	AT3G09930.2	CARHR084460.1	Carub.0003s0904.1.p	gene-TAV2_LOCUS10176
N0.HOG0012262	OG0010212	n0	Aa31LG3G2480	AT3G09980.1	CARHR084490.1	Carub.0003s0908.1.p	gene-TAV2_LOCUS8872
N0.HOG0012263	OG0010213	n0	Aa31LG3G2560	AT3G10030.1	CARHR084530.1	Carub.0003s0913.1.p	gene-TAV2_LOCUS8875
N0.HOG0012264	OG0010214	n0	Aa31LG3G2580	AT3G10050.1	CARHR084550.1	Carub.0003s0915.1.p	gene-TAV2_LOCUS9546
N0.HOG0012265	OG0010215	n0	Aa31LG3G2590	AT3G10060.1	CARHR084560.1	Carub.0003s0916.1.p	gene-TAV2_LOCUS8873
N0.HOG0012266	OG0010216	n0	Aa31LG3G2600	AT4G24320.1	CARHR231740.1	Carub.0007s1673.1.p	gene-TAV2_LOCUS25502
N0.HOG0012267	OG0010217	n0	Aa31LG3G2690	AT3G10150.2	CARHR084630.1	Carub.0003s0930.1.p	gene-TAV2_LOCUS10717
N0.HOG0012268	OG0010218	n0	Aa31LG3G2700	AT3G10160.1	CARHR084640.1, CARHR129010.1	Carub.0003s0931.1.p	
N0.HOG0012269	OG0010219	n0	Aa31LG3G2730	AT3G10180.1	CARHR084660.1	Carub.0003s0934.1.p	gene-TAV2_LOCUS10719
N0.HOG0012270	OG0010220	n0	Aa31LG3G2740	AT3G10190.1	CARHR084670.1	Carub.0006s0298.1.p, Carub.0003s0935.1.p	
N0.HOG0012271	OG0010221	n0	Aa31LG3G2760	AT2G04940.1	CARHR102970.1	Carub.0003s2662.1.p	gene-TAV2_LOCUS8820
N0.HOG0012272	OG0010222	n0	Aa31LG3G2770	AT3G10210.1	CARHR084700.1	Carub.0003s0938.1.p	gene-TAV2_LOCUS10723
N0.HOG0012273	OG0010223	n0	Aa31LG3G2790	AT3G10220.1	CARHR084710.1	Carub.0003s0939.1.p	gene-TAV2_LOCUS9637
N0.HOG0012274	OG0010224	n0	Aa31LG3G2860	AT5G48385.1	CARHR183810.1	Carub.0008s0797.1.p	gene-TAV2_LOCUS5108
N0.HOG0012275	OG0010225	n0	Aa31LG3G2890	AT3G10310.2	CARHR084790.1	Carub.0003s0949.1.p	gene-TAV2_LOCUS9645
N0.HOG0012276	OG0010226	n0	Aa31LG3G2900	AT3G10320.1	CARHR084800.1	Carub.0003s0950.1.p	gene-TAV2_LOCUS9646
N0.HOG0012277	OG0010227	n0	Aa31LG3G2930	AT3G10360.1	CARHR084840.1	Carub.0003s0954.1.p	gene-TAV2_LOCUS11518
N0.HOG0012278	OG0010228	n0	Aa31LG3G2960	AT3G10380.1	CARHR084860.1	Carub.0003s0956.1.p	gene-TAV2_LOCUS11515
N0.HOG0012279	OG0010229	n0	Aa31LG3G2970	AT3G10390.3	CARHR084870.1	Carub.0003s0957.1.p	gene-TAV2_LOCUS11514
N0.HOG0012280	OG0010230	n0	Aa31LG3G3010	AT3G10405.1	CARHR084890.1	Carub.0003s0959.1.p	gene-TAV2_LOCUS11513
N0.HOG0012281	OG0010231	n0	Aa31LG3G3020	AT3G10410.1	CARHR084900.1	Carub.0003s0960.1.p	gene-TAV2_LOCUS11512
N0.HOG0012282	OG0010232	n0	Aa31LG3G3030	AT3G10420.2	CARHR084910.1	Carub.0003s0961.1.p	gene-TAV2_LOCUS10370
N0.HOG0012283	OG0010233	n0	Aa31LG3G3370	AT3G10520.1	CARHR085030.1	Carub.0003s0975.1.p	gene-TAV2_LOCUS10366
N0.HOG0012284	OG0010234	n0	Aa31LG3G3420	AT5G04600.1	CARHR208690.1	Carub.0006s0352.1.p	gene-TAV2_LOCUS19366
N0.HOG0012285	OG0010235	n0	Aa31LG3G3440	AT3G10572.1	CARHR085110.1	Carub.0003s0981.1.p	gene-TAV2_LOCUS11463
N0.HOG0012286	OG0010236	n0	Aa31LG3G3490	AT3G10620.1	CARHR085200.1	Carub.0003s0985.1.p	gene-TAV2_LOCUS11466
N0.HOG0012287	OG0010237	n0	Aa31LG3G3500	AT3G10650.2	CARHR085230.1	Carub.0003s0988.1.p	gene-TAV2_LOCUS11467
N0.HOG0012288	OG0010238	n0	Aa31LG3G3540	AT3G10680.1	CARHR085260.1	Carub.0003s0991.1.p	gene-TAV2_LOCUS9577
N0.HOG0012289	OG0010239	n0	Aa31LG3G3550	AT3G10690.1	CARHR085270.1	Carub.0003s0992.1.p	gene-TAV2_LOCUS9570
N0.HOG0012290	OG0010240	n0	Aa31LG3G3560	AT3G10700.1	CARHR085280.1	Carub.0003s0993.1.p	gene-TAV2_LOCUS9569
N0.HOG0012291	OG0010241	n0	Aa31LG3G3660	AT3G10730.1	CARHR085310.1	Carub.0003s0996.1.p	gene-TAV2_LOCUS9574
N0.HOG0012292	OG0010242	n0	Aa31LG3G3720	AT3G10800.1	CARHR085360.1	Carub.0003s1003.1.p	gene-TAV2_LOCUS10668
N0.HOG0012293	OG0010243	n0	Aa31LG3G3730	AT3G10810.1	CARHR085370.1	Carub.0003s1004.1.p	gene-TAV2_LOCUS10669
N0.HOG0012294	OG0010244	n0	Aa31LG3G3740	AT3G10815.1	CARHR085390.1	Carub.0003s1005.1.p	gene-TAV2_LOCUS10674
N0.HOG0012295	OG0010245	n0	Aa31LG3G3780	AT1G63810.2	CARHR047390.1	Carub.0002s0104.1.p	gene-TAV2_LOCUS24743
N0.HOG0012296	OG0010246	n0	Aa31LG3G3810	AT1G56180.1	CARHR045950.1	Carub.0001s4489.1.p	gene-TAV2_LOCUS3856
N0.HOG0012297	OG0010247	n0	Aa31LG3G3840	AT3G10850.1	CARHR085420.1	Carub.0003s1009.1.p	gene-TAV2_LOCUS10677
N0.HOG0012298	OG0010248	n0	Aa31LG3G3850, Aa31LG3G4110	AT3G10860.2	CARHR085430.1	Carub.0003s1010.1.p	
N0.HOG0012299	OG0010249	n0	Aa31LG3G3860	AT3G10870.1	CARHR085450.1	Carub.0003s1012.1.p	gene-TAV2_LOCUS10670
N0.HOG0012300	OG0010250	n0	Aa31LG3G3900	AT3G10915.7	CARHR085490.1	Carub.0003s1018.1.p	gene-TAV2_LOCUS10673
N0.HOG0012301	OG0010251	n0	Aa31LG3G3910	AT3G10920.1	CARHR085500.1	Carub.0003s1019.1.p	gene-TAV2_LOCUS11825
N0.HOG0012302	OG0010252	n0	Aa31LG3G4070	AT3G11030.1	CARHR085610.1	Carub.0003s1032.1.p	gene-TAV2_LOCUS11832
N0.HOG0012303	OG0010253	n0	Aa31LG3G4100	AT3G11000.2	CARHR085590.1	Carub.0003s1029.1.p	gene-TAV2_LOCUS11750
N0.HOG0012304	OG0010254	n0	Aa31LG3G4130	AT3G10986.1	CARHR085580.1	Carub.0003s1028.1.p	gene-TAV2_LOCUS11826
N0.HOG0012305	OG0010255	n0	Aa31LG3G4180	AT3G10970.1	CARHR085550.1	Carub.0003s1024.1.p	gene-TAV2_LOCUS11828
N0.HOG0012306	OG0010256	n0	Aa31LG3G4210	AT3G10940.1	CARHR085520.1	Carub.0003s1021.1.p	gene-TAV2_LOCUS11824
N0.HOG0012307	OG0010257	n0	Aa31LG3G4310	AT3G11150.1	CARHR085730.1	Carub.0003s1045.1.p	gene-TAV2_LOCUS9869
N0.HOG0012308	OG0010258	n0	Aa31LG3G4510	AT3G11210.1	CARHR085770.1	Carub.0003s1052.1.p	gene-TAV2_LOCUS9865
N0.HOG0012309	OG0010259	n0	Aa31LG3G4730	AT3G11410.1	CARHR085960.1	Carub.0003s1073.1.p	gene-TAV2_LOCUS9064
N0.HOG0012310	OG0010260	n0	Aa31LG3G4760	AT3G11440.1	CARHR085990.1	Carub.0003s1076.1.p	gene-TAV2_LOCUS9067
N0.HOG0012311	OG0010261	n0	Aa31LG3G4850	AT3G11490.1	CARHR086040.1	Carub.0003s1081.1.p	gene-TAV2_LOCUS10210
N0.HOG0012312	OG0010262	n0	Aa31LG3G4910	AT4G33170.1	CARHR241200.1	Carub.0007s0728.1.p	gene-TAV2_LOCUS24052
N0.HOG0012313	OG0010263	n0	Aa31LG3G4930	AT3G11530.2	CARHR086080.1	Carub.0003s1085.1.p	gene-TAV2_LOCUS10206
N0.HOG0012314	OG0010264	n0	Aa31LG3G4940	AT3G11540.1	CARHR086090.1	Carub.0003s1086.1.p	gene-TAV2_LOCUS10205
