ATfeature,refGene,Aar,Ath,Bra,Chi,Cru,Csa,Sal,Tar
TPS2,AT1G16980.1,,AT1G16980.1,,CARHR017490.1,Carub.0001s1671.1.p,,,gene-TAV2_LOCUS1459
PI4KG6,AT1G13640.1,,AT1G13640.1,,CARHR014020.1,Carub.0001s1337.1.p,,,
AT1G05950,AT1G05950.1,Aa31LG1G8350,AT1G05950.1,,CARHR005480.1,Carub.0001s0531.1.p,,,gene-TAV2_LOCUS2374
RTM1,AT1G05760.2,Aa31LG1G8610,"AT1G05760.2, AT1G05770.1",,"CARHR005260.1, CARHR005280.1",Carub.0001s0511.1.p,,,gene-TAV2_LOCUS3331
JAL2,AT1G05770.1,Aa31LG1G8610,"AT1G05760.2, AT1G05770.1",,"CARHR005260.1, CARHR005280.1",Carub.0001s0511.1.p,,,gene-TAV2_LOCUS3331
HDG10,AT1G34650.1,Aa31LG11G12360,"AT1G34650.1, AT5G17320.1",,CARHR195900.1,"Carub.0001s3265.1.p, Carub.0006s1551.1.p",,,gene-TAV2_LOCUS19934
HDG9,AT5G17320.1,Aa31LG11G12360,"AT1G34650.1, AT5G17320.1",,CARHR195900.1,"Carub.0001s3265.1.p, Carub.0006s1551.1.p",,,gene-TAV2_LOCUS19934
PRMT10,AT1G04870.2,Aa31LG5G9060,AT1G04870.2,,CARHR004260.1,Carub.0001s0411.1.p,,,gene-TAV2_LOCUS19454
GRI,AT1G53130.1,Aa31LG10G2000,AT1G53130.1,,CARHR043350.1,Carub.0001s4229.1.p,,,
NLM9,AT1G31880.2,Aa31LG2G14160,AT1G31880.2,,CARHR031220.1,Carub.0001s3021.1.p,,,gene-TAV2_LOCUS1694
AT2G21030,AT2G21030.1,,,,,,,,
BAG5,AT1G12060.1,,AT1G12060.1,,,,,,
TBL25,AT1G01430.1,Aa31LG1G10940,AT1G01430.1,,CARHR001010.1,Carub.0001s0083.1.p,,,gene-TAV2_LOCUS814
AT1G28000,AT1G28000.1,,AT1G28000.1,,CARHR027450.1,Carub.0001s2645.1.p,,,gene-TAV2_LOCUS68
RABG3D,AT1G52280.1,Aa31LG10G2640,AT1G52280.1,,CARHR042390.1,Carub.0001s4124.1.p,,,gene-TAV2_LOCUS2424
AT1G30280,AT1G30280.1,Aa31LG6G5480,AT1G30280.1,,CARHR029670.1,Carub.0001s2851.1.p,,,gene-TAV2_LOCUS1877
GA20OX5,AT1G44090.1,,AT1G44090.1,,CARHR035770.1,Carub.0001s3500.1.p,,,gene-TAV2_LOCUS47
ERF094,AT1G06160.1,,AT1G06160.1,,CARHR005690.1,Carub.0001s0552.1.p,,,gene-TAV2_LOCUS1293
CINV1,AT1G35580.2,Aa31LG6G8810,AT1G35580.2,,CARHR034370.1,Carub.0001s3318.1.p,,,
NFS2,AT1G08490.1,Aa31sc55G30,AT1G08490.1,,CARHR008380.1,Carub.0001s0785.1.p,,,gene-TAV2_LOCUS1180
ATOBGM,AT1G07615.1,Aa31sc36G30,AT1G07615.1,,CARHR007400.1,Carub.0001s0694.1.p,,,gene-TAV2_LOCUS449
AT59,AT1G14420.1,Aa31LG1G640,AT1G14420.1,,CARHR014860.1,Carub.0001s1413.1.p,,,gene-TAV2_LOCUS941
DOF1.5,AT1G29160.1,Aa31LG6G6380,AT1G29160.1,,CARHR028470.1,Carub.0001s2736.1.p,,,gene-TAV2_LOCUS251
CDF4,AT2G34140.1,Aa31LG9G13910,AT2G34140.1,,CARHR128230.1,Carub.0004s1577.1.p,,,
AT1G06060,AT1G06060.1,Aa31LG1G8200,AT1G06060.1,,CARHR005580.1,Carub.0001s0539.1.p,,,gene-TAV2_LOCUS3940
AT1G14180,AT1G14180.1,Aa31LG1G910,AT1G14180.1,,CARHR014580.1,Carub.0001s1385.1.p,,,gene-TAV2_LOCUS3550
ATO2,AT1G31020.1,,AT1G31020.1,,CARHR030550.1,Carub.0001s2941.1.p,,,gene-TAV2_LOCUS1183
AT1G20460,AT1G20460.1,Aa31LG7G4760,"AT1G20460.1, AT1G76185.1",,CARHR020910.1,"Carub.0001s1993.1.p, Carub.0002s2308.1.p",,,"gene-TAV2_LOCUS3720, gene-TAV2_LOCUS17225"
XBCP3,AT1G09850.1,Aa31LG1G5040,AT1G09850.1,,CARHR009870.1,Carub.0001s0923.1.p,,,gene-TAV2_LOCUS2929
AT1G07680,AT1G07680.1,Aa31LG11G3210,"AT1G07680.1, AT5G23903.1",,,Carub.0001s0703.1.p,,,
AT5G23903,AT5G23903.1,Aa31LG11G3210,"AT1G07680.1, AT5G23903.1",,,Carub.0001s0703.1.p,,,
MGP,AT1G03840.1,Aa31LG1G9050,AT1G03840.1,,CARHR003170.1,Carub.0001s0296.1.p,,,gene-TAV2_LOCUS1815
ATEXO70D2,AT1G54090.1,Aa31LG10G1310,AT1G54090.1,,CARHR044420.1,Carub.0001s4332.1.p,,,gene-TAV2_LOCUS2181
FAS4,AT1G33390.2,Aa31LG1G28830,AT1G33390.2,,CARHR032810.1,Carub.0001s3158.1.p,,,gene-TAV2_LOCUS25920
AT1G04210,AT1G04210.1,Aa31LG1G20620,AT1G04210.1,,CARHR003540.1,Carub.0001s0340.1.p,,,gene-TAV2_LOCUS3832
SMG7L,AT1G28260.1,Aa31LG6G10150,AT1G28260.1,,CARHR027750.1,Carub.0001s2670.1.p,,,gene-TAV2_LOCUS1057
AT5G02650,AT5G02650.1,,,,,,,,
AT1G26590,AT1G26590.2,,AT1G26590.2,,CARHR025380.1,"Carub.0001s2445.1.p, Carub.0001s2444.1.p",,,gene-TAV2_LOCUS116
AT1G15260,AT1G15260.1,Aa31LG7G70,AT1G15260.1,,CARHR015800.1,Carub.0001s1502.1.p,,,gene-TAV2_LOCUS2239
AT1G50575,AT1G50575.1,Aa31LG10G3760,AT1G50575.1,,CARHR040570.1,Carub.0001s3961.1.p,,,gene-TAV2_LOCUS2649
AT1G04800,AT1G04800.1,,AT1G04800.1,,CARHR004190.1,Carub.0001s0405.1.p,,,gene-TAV2_LOCUS3736
HISN1B,AT1G09795.1,Aa31LG1G5170,AT1G09795.1,,CARHR009780.1,Carub.0001s0915.1.p,,,gene-TAV2_LOCUS2926
ERF023,AT1G01250.1,Aa31LG1G10620,AT1G01250.1,,CARHR001210.1,Carub.0001s0096.1.p,,,gene-TAV2_LOCUS3894
AT1G53345,AT1G53345.1,Aa31LG10G1790,AT1G53345.1,,CARHR043570.1,Carub.0001s4252.1.p,,,gene-TAV2_LOCUS582
AT1G17400,AT1G17400.2,Aa31LG7G2290,AT1G17400.2,,CARHR017990.1,Carub.0001s1716.1.p,,,gene-TAV2_LOCUS408
HAL3B,AT1G48605.1,,AT1G48605.1,,CARHR038210.1,,,,
SPPL4,AT1G01650.1,Aa31LG1G11010,AT1G01650.1,,CARHR000700.1,Carub.0001s0057.1.p,,,gene-TAV2_LOCUS424
DRT112,AT1G20340.1,,AT1G20340.1,,CARHR020810.1,Carub.0001s1985.1.p,,,gene-TAV2_LOCUS1127
IGMT1,AT1G21100.1,,"AT1G21100.1, AT1G21110.1, AT1G21120.2, AT1G21130.1",,CARHR021580.1,Carub.0001s2056.1.p,,,"gene-TAV2_LOCUS2839, gene-TAV2_LOCUS3303"
IGMT3,AT1G21110.1,,"AT1G21100.1, AT1G21110.1, AT1G21120.2, AT1G21130.1",,CARHR021580.1,Carub.0001s2056.1.p,,,"gene-TAV2_LOCUS2839, gene-TAV2_LOCUS3303"
AT1G21120,AT1G21120.2,,"AT1G21100.1, AT1G21110.1, AT1G21120.2, AT1G21130.1",,CARHR021580.1,Carub.0001s2056.1.p,,,"gene-TAV2_LOCUS2839, gene-TAV2_LOCUS3303"
IGMT4,AT1G21130.1,,"AT1G21100.1, AT1G21110.1, AT1G21120.2, AT1G21130.1",,CARHR021580.1,Carub.0001s2056.1.p,,,"gene-TAV2_LOCUS2839, gene-TAV2_LOCUS3303"
IGMT5,AT1G76790.1,,AT1G76790.1,,CARHR070320.1,Carub.0002s2370.1.p,,,gene-TAV2_LOCUS17007
AT1G54260,AT1G54260.1,,AT1G54260.1,,,Carub.0001s4350.1.p,,,
YUC11,AT1G21430.1,Aa31LG7G5470,AT1G21430.1,,CARHR021810.1,Carub.0001s2084.1.p,,,gene-TAV2_LOCUS866
AT1G50450,AT1G50450.1,Aa31LG10G3830,AT1G50450.1,,CARHR040460.1,Carub.0001s3953.1.p,,,gene-TAV2_LOCUS234
AT1G03440,AT1G03440.1,Aa31LG1G9150,AT1G03440.1,,CARHR002790.1,Carub.0001s0257.1.p,,,gene-TAV2_LOCUS1310
AT1G52600,AT1G52600.1,"Aa31LG10G2410, Aa31LG5G20770",AT1G52600.1,,CARHR042730.1,Carub.0001s4160.1.p,,,gene-TAV2_LOCUS277
CYCT1-1,AT1G35440.1,,AT1G35440.1,,,Carub.0001s3305.1.p,,,
RABA6B,AT1G18200.1,,AT1G18200.1,,CARHR018780.1,Carub.0001s1784.1.p,,,gene-TAV2_LOCUS152
ABCG12,AT1G51500.1,,AT1G51500.1,,CARHR041660.1,Carub.0001s4035.1.p,,,gene-TAV2_LOCUS1567
RABA1I,AT1G28550.1,Aa31LG6G11060,AT1G28550.1,,CARHR028030.1,Carub.0001s2701.1.p,,,gene-TAV2_LOCUS2317
AT1G01710,AT1G01710.1,Aa31LG1G11070,AT1G01710.1,,CARHR000630.1,Carub.0001s0050.1.p,,,gene-TAV2_LOCUS418
LRR,AT1G09970.2,Aa31LG1G4910,AT1G09970.2,,CARHR010090.1,Carub.0001s0940.1.p,,,gene-TAV2_LOCUS1865
BHLH75,AT1G25330.1,Aa31LG7G9170,AT1G25330.1,,CARHR026160.1,Carub.0001s2519.1.p,,,gene-TAV2_LOCUS445
AT1G08790,AT1G08790.1,Aa31sc20G30,AT1G08790.1,,CARHR008710.1,Carub.0001s0813.1.p,,,gene-TAV2_LOCUS702
AT1G09060,AT1G09060.4,Aa31sc588G20,AT1G09060.4,,CARHR008950.1,Carub.0001s0838.1.p,,,gene-TAV2_LOCUS186
AT1G55365,AT1G55365.1,Aa31LG10G1170,AT1G55365.1,,CARHR045030.1,Carub.0001s4388.1.p,,,gene-TAV2_LOCUS3821
AT1G27670,AT1G27670.1,Aa31sc84G30,AT1G27670.1,,CARHR027160.1,Carub.0001s2617.1.p,,,gene-TAV2_LOCUS2056
AT1G36730,AT1G36730.1,Aa31LG6G9040,AT1G36730.1,,CARHR035070.1,Carub.0001s3385.1.p,,,
AT1G06550,AT1G06550.1,Aa31LG1G7920,AT1G06550.1,,CARHR006160.1,Carub.0001s0592.1.p,,,gene-TAV2_LOCUS2613
TFB1-1,AT1G55750.1,Aa31LG10G490,"AT1G55750.1, AT3G61420.1",,CARHR045410.1,Carub.0001s4426.1.p,,,gene-TAV2_LOCUS3230
TFB1-3,AT3G61420.1,Aa31LG10G490,"AT1G55750.1, AT3G61420.1",,CARHR045410.1,Carub.0001s4426.1.p,,,gene-TAV2_LOCUS3230
ATARFD1B,AT1G02430.1,Aa31LG1G10070,"AT1G02430.1, AT1G02440.1",,CARHR001760.1,Carub.0001s0151.1.p,,,gene-TAV2_LOCUS1645
ATARFD1A,AT1G02440.1,Aa31LG1G10070,"AT1G02430.1, AT1G02440.1",,CARHR001760.1,Carub.0001s0151.1.p,,,gene-TAV2_LOCUS1645
AT1G09390,AT1G09390.1,Aa31LG1G5690,AT1G09390.1,,CARHR009350.1,Carub.0001s0873.1.p,,,gene-TAV2_LOCUS1600
AT1G11320,AT1G11320.1,Aa31LG1G3380,AT1G11320.1,,CARHR011570.1,Carub.0001s1094.1.p,,,gene-TAV2_LOCUS3217
AT1G09820,AT1G09820.1,Aa31LG1G5110,AT1G09820.1,,CARHR009830.1,Carub.0001s0920.1.p,,,gene-TAV2_LOCUS2931
AT1G04560,AT1G04560.1,Aa31LG1G20310,AT1G04560.1,,CARHR003910.1,Carub.0001s0378.1.p,,,gene-TAV2_LOCUS136
CTL1,AT1G05850.2,Aa31LG1G8490,AT1G05850.2,,CARHR005390.1,Carub.0001s0521.1.p,,,gene-TAV2_LOCUS858
AT1G18610,AT1G18610.2,Aa31LG7G3370,AT1G18610.2,,CARHR019230.1,Carub.0001s1824.1.p,,,gene-TAV2_LOCUS3494
MAP70.4,AT1G14840.1,,AT1G14840.1,,CARHR015380.1,Carub.0001s1463.1.p,,,gene-TAV2_LOCUS526
AT1G22480,AT1G22480.1,Aa31LG7G6400,AT1G22480.1,,CARHR022820.1,Carub.0001s2201.1.p,,,gene-TAV2_LOCUS2065
SGR2,AT1G31480.1,Aa31LG2G14460,AT1G31480.1,,CARHR287040.1,Carub.0001s2990.1.p,,,gene-TAV2_LOCUS1207
ORP1D,AT1G13170.2,Aa31LG1G1630,AT1G13170.2,,CARHR013540.1,Carub.0001s1290.1.p,,,gene-TAV2_LOCUS650
AT1G05840,AT1G05840.1,Aa31LG1G8500,AT1G05840.1,,CARHR005370.1,Carub.0001s0520.1.p,,,gene-TAV2_LOCUS859
TRP5,AT1G07540.1,Aa31sc510G30,AT1G07540.1,,CARHR007310.1,Carub.0001s0686.1.p,,,gene-TAV2_LOCUS455
LECRKS1,AT1G15530.1,Aa31LG7G250,AT1G15530.1,,CARHR016090.1,Carub.0001s1531.1.p,,,gene-TAV2_LOCUS1826
TRFL3,AT1G17460.2,Aa31LG7G2240,AT1G17460.2,,CARHR018060.1,Carub.0001s1723.1.p,,,gene-TAV2_LOCUS396
CENP-C,AT1G15660.1,"Aa31LG7G15290, Aa31LG7G300, Aa31sc115G30",AT1G15660.1,,CARHR016160.1,Carub.0001s1544.1.p,,,gene-TAV2_LOCUS358
RANBP1A,AT1G07140.1,,AT1G07140.1,,CARHR006850.1,Carub.0001s0643.1.p,,,gene-TAV2_LOCUS901
FLZ17,AT1G53885.1,Aa31LG10G1440,"AT1G53885.1, AT1G53903.1",,CARHR044210.1,Carub.0001s4317.1.p,,,gene-TAV2_LOCUS1422
FLZ17,AT1G53903.1,Aa31LG10G1440,"AT1G53885.1, AT1G53903.1",,CARHR044210.1,Carub.0001s4317.1.p,,,gene-TAV2_LOCUS1422
AT1G32690,AT1G32690.1,Aa31LG2G13280,AT1G32690.1,,CARHR032080.1,Carub.0001s3103.1.p,,,gene-TAV2_LOCUS1934
AT1G05785,AT1G05785.6,Aa31LG1G8590,AT1G05785.6,,CARHR005300.1,Carub.0001s0512.1.p,,,gene-TAV2_LOCUS3339
NQR,AT1G49670.2,Aa31LG10G4360,AT1G49670.2,,CARHR039720.1,Carub.0001s3887.1.p,,,
FRL2,AT1G31814.1,Aa31LG2G14230,AT1G31814.1,,CARHR031140.1,Carub.0001s3013.1.p,,,gene-TAV2_LOCUS1697
GBF4,AT1G03970.1,,AT1G03970.1,,CARHR003320.1,Carub.0001s0312.1.p,,,gene-TAV2_LOCUS3375
CCR1,AT1G15950.1,Aa31LG7G530,AT1G15950.1,,CARHR016460.1,Carub.0001s1575.1.p,,,gene-TAV2_LOCUS1317
AT1G49500,AT1G49500.2,Aa31LG10G4490,AT1G49500.2,,CARHR039520.1,Carub.0001s3868.1.p,,,
AT1G05150,AT1G05150.1,Aa31LG1G19600,AT1G05150.1,,CARHR004600.1,Carub.0001s0442.1.p,,,gene-TAV2_LOCUS1405
AT1G26320,AT1G26320.1,,AT1G26320.1,,CARHR025600.1,Carub.0001s2468.1.p,,,
AT1G10850,AT1G10850.1,Aa31LG1G4000,AT1G10850.1,,CARHR011070.1,Carub.0001s1039.1.p,,,gene-TAV2_LOCUS3898
GALT31A,AT1G32930.1,Aa31LG6G7530,AT1G32930.1,,CARHR032260.1,Carub.0001s3125.1.p,,,gene-TAV2_LOCUS1465
AT1G48460,AT1G48460.1,Aa31LG9G12710,AT1G48460.1,,CARHR038090.1,Carub.0001s3759.1.p,,,gene-TAV2_LOCUS1246
TRM112A,AT1G22270.1,Aa31LG7G6210,"AT1G22270.1, AT1G78190.1",,"CARHR022650.1, CARHR071660.1","Carub.0001s2182.1.p, Carub.0002s2509.1.p",,,gene-TAV2_LOCUS928
AT1G06840,AT1G06840.1,,AT1G06840.1,,CARHR006530.1,Carub.0001s0615.1.p,,,gene-TAV2_LOCUS1492
AT1G12930,AT1G12930.1,Aa31LG1G1850,AT1G12930.1,,CARHR013280.1,Carub.0001s1270.1.p,,,gene-TAV2_LOCUS3612
AT1G02370,AT1G02370.1,Aa31LG1G9990,AT1G02370.1,,CARHR001690.1,Carub.0001s0142.1.p,,,gene-TAV2_LOCUS7540
GPL1,AT2G25650.1,Aa31LG5G23590,"AT2G25650.1, AT4G00270.1, AT5G14280.1",,CARHR199060.1,Carub.0004s0544.1.p,,,"gene-TAV2_LOCUS22667, gene-TAV2_LOCUS24629, gene-TAV2_LOCUS9086"
GEBP,AT4G00270.1,Aa31LG5G23590,"AT2G25650.1, AT4G00270.1, AT5G14280.1",,CARHR199060.1,Carub.0004s0544.1.p,,,"gene-TAV2_LOCUS22667, gene-TAV2_LOCUS24629, gene-TAV2_LOCUS9086"
GPL2,AT5G14280.1,Aa31LG5G23590,"AT2G25650.1, AT4G00270.1, AT5G14280.1",,CARHR199060.1,Carub.0004s0544.1.p,,,"gene-TAV2_LOCUS22667, gene-TAV2_LOCUS24629, gene-TAV2_LOCUS9086"
AT1G28410,AT1G28410.1,,AT1G28410.1,,CARHR027920.1,Carub.0001s2689.1.p,,,gene-TAV2_LOCUS789
LCV2,AT1G43130.1,Aa31LG6G9980,AT1G43130.1,,CARHR035290.1,Carub.0001s3445.1.p,,,gene-TAV2_LOCUS2005
IRX9H,AT1G27600.1,Aa31LG7G10100,AT1G27600.1,,CARHR134200.1,Carub.0001s2612.1.p,,,gene-TAV2_LOCUS3648
MNS1,AT1G51590.1,Aa31LG10G3180,AT1G51590.1,,CARHR041740.1,Carub.0001s4044.1.p,,,gene-TAV2_LOCUS100
PYR4,AT4G22930.1,Aa31LG2G13370,AT4G22930.1,,CARHR229970.1,"Carub.0001s3611.1.p, Carub.0007s1834.1.p",,,gene-TAV2_LOCUS23695
AT1G56050,AT1G56050.1,Aa31sc167G70,AT1G56050.1,,CARHR045770.1,Carub.0001s4464.1.p,,,gene-TAV2_LOCUS1227
AT1G16000,AT1G16000.1,,AT1G16000.1,,,Carub.0001s1580.1.p,,,
MYB112,AT1G48000.1,Aa31LG10G5690,AT1G48000.1,,CARHR037630.1,Carub.0001s3711.1.p,,,gene-TAV2_LOCUS1341
ENDO1,AT1G11190.1,Aa31LG1G3640,AT1G11190.1,,CARHR011420.1,Carub.0001s1078.1.p,,,gene-TAV2_LOCUS267
CSLD6,AT1G32180.2,Aa31LG2G13830,AT1G32180.2,,CARHR031550.1,Carub.0001s3051.1.p,,,"gene-TAV2_LOCUS3195, gene-TAV2_LOCUS3687"
JAL8,AT1G52050.1,,AT1G52050.1,,CARHR042190.1,Carub.0001s4096.1.p,,,
ICMEL1,AT1G26120.1,Aa31LG7G8880,AT1G26120.1,,CARHR025800.1,Carub.0001s2484.1.p,,,gene-TAV2_LOCUS2277
TET16,AT1G18510.1,Aa31LG7G3200,AT1G18510.1,,CARHR019130.1,Carub.0001s1814.1.p,,,
ERF088,AT1G12890.1,Aa31LG1G1890,AT1G12890.1,,CARHR013220.1,Carub.0001s1266.1.p,,,gene-TAV2_LOCUS3613
AT1G04770,AT1G04770.1,Aa31LG1G20120,AT1G04770.1,,CARHR004150.1,Carub.0001s0401.1.p,,,gene-TAV2_LOCUS3732
CBSDUF7,AT1G47330.1,Aa31sc924G30,AT1G47330.1,,CARHR036920.1,Carub.0001s3613.1.p,,,gene-TAV2_LOCUS2523
RCD1,AT1G32230.1,Aa31LG2G13770,AT1G32230.1,,CARHR031600.1,Carub.0001s3056.1.p,,,gene-TAV2_LOCUS1092
AT1G01390,AT1G01390.2,,"AT1G01390.2, AT1G01420.2",,CARHR001050.1,Carub.0001s0084.1.p,,,gene-TAV2_LOCUS815
UGT72B3,AT1G01420.2,,"AT1G01390.2, AT1G01420.2",,CARHR001050.1,Carub.0001s0084.1.p,,,gene-TAV2_LOCUS815
DJ1B,AT1G53280.1,Aa31LG10G1870,AT1G53280.1,,CARHR043510.1,Carub.0001s4246.1.p,,,gene-TAV2_LOCUS2043
AT1G50180,AT1G50180.1,Aa31LG10G3990,AT1G50180.1,,CARHR040210.1,Carub.0001s3931.1.p,,,
DPB,AT5G03415.1,Aa31LG1G21740,AT5G03415.1,,CARHR209930.1,Carub.0006s0222.1.p,,,gene-TAV2_LOCUS20600
U2B'',AT2G30260.1,"Aa31LG5G6450, Aa31LG5G6450","AT2G30260.1, AT1G06960.1",,"CARHR123580.1, CARHR006630.1","Carub.0004s1142.1.p, Carub.0001s0625.1.p",,,gene-TAV2_LOCUS12725
AT1G11540,AT1G11540.2,Aa31LG1G3220,AT1G11540.2,,CARHR011820.1,,,,gene-TAV2_LOCUS207
APUM8,AT1G22240.1,,AT1G22240.1,,CARHR022590.1,Carub.0001s2179.1.p,,,gene-TAV2_LOCUS931
PSAG,AT1G55670.1,Aa31LG10G560,AT1G55670.1,,CARHR045350.1,Carub.0001s4419.1.p,,,gene-TAV2_LOCUS3232
VPS2.3,AT1G03950.1,Aa31LG1G20860,AT1G03950.1,,CARHR003290.1,Carub.0001s0310.1.p,,,gene-TAV2_LOCUS3374
AT1G30800,AT1G30800.1,Aa31LG6G12020,AT1G30800.1,,CARHR030270.1,"Carub.0001s2910.1.p, Carub.0006s3088.1.p",,,gene-TAV2_LOCUS2213
AT1G05960,AT1G05960.2,Aa31LG1G8360,AT1G05960.2,,CARHR005490.1,Carub.0001s0532.1.p,,,gene-TAV2_LOCUS2380
AT1G48990,AT1G48990.1,,AT1G48990.1,,CARHR039000.1,Carub.0001s3816.1.p,,,
AT1G09575,AT1G09575.1,Aa31LG1G5450,AT1G09575.1,,CARHR009550.1,Carub.0001s0892.1.p,,,gene-TAV2_LOCUS2466
BUB3.2,AT1G49910.1,Aa31LG10G4190,AT1G49910.1,,,Carub.0001s3912.1.p,,,gene-TAV2_LOCUS1978
RPL9B,AT1G33120.1,Aa31LG6G7700,"AT1G33120.1, AT1G33140.1",,,"Carub.0001s3138.1.p, Carub.0006s2484.1.p",,,"gene-TAV2_LOCUS2402, gene-TAV2_LOCUS2406, gene-TAV2_LOCUS2519"
RPL9B,AT1G33140.1,Aa31LG6G7700,"AT1G33120.1, AT1G33140.1",,,"Carub.0001s3138.1.p, Carub.0006s2484.1.p",,,"gene-TAV2_LOCUS2402, gene-TAV2_LOCUS2406, gene-TAV2_LOCUS2519"
AT5G48110,AT5G48110.1,,,,,,,,
MFT,AT1G18100.1,Aa31LG7G2970,AT1G18100.1,,CARHR018690.1,Carub.0001s1777.1.p,,,gene-TAV2_LOCUS1636
HRS1,AT1G13300.1,Aa31LG1G1450,AT1G13300.1,,CARHR013680.1,Carub.0001s1303.1.p,,,gene-TAV2_LOCUS3409
ATHB-23,AT1G26960.1,,AT1G26960.1,,CARHR024950.1,Carub.0001s2402.1.p,,,gene-TAV2_LOCUS2110
ELP2,AT1G49540.2,Aa31LG10G4460,AT1G49540.2,,CARHR039570.1,Carub.0001s3872.1.p,,,gene-TAV2_LOCUS80
AL7,AT1G14510.1,Aa31LG1G550,AT1G14510.1,,CARHR014960.1,Carub.0001s1423.1.p,,,gene-TAV2_LOCUS2139
AT1G27461,AT1G27461.1,Aa31LG7G10200,AT1G27461.1,,CARHR027070.1,Carub.0001s2602.1.p,,,gene-TAV2_LOCUS3646
ENODL6,AT1G48940.1,,AT1G48940.1,,CARHR038940.1,Carub.0001s3811.1.p,,,gene-TAV2_LOCUS3752
ENODL5,AT3G18590.1,Aa31LG8G5450,AT3G18590.1,,CARHR093960.1,Carub.0003s1837.1.p,,,gene-TAV2_LOCUS11006
ZIP10,AT1G31260.1,Aa31LG2G15180,AT1G31260.1,,CARHR030740.1,Carub.0001s2970.1.p,,,gene-TAV2_LOCUS1062
MAIN,AT1G17930.2,Aa31LG11G4340,AT1G17930.2,,CARHR018550.1,,,,
AT1G17940,AT1G17940.5,Aa31LG7G2720,AT1G17940.5,,CARHR018560.1,Carub.0001s1764.1.p,,,
ATCAX6,AT1G55720.1,,,,,,,,
CAX5,AT1G55730.2,Aa31LG10G530,AT1G55730.2,,CARHR045380.1,Carub.0001s4423.1.p,,,
RPL11,AT1G32990.1,Aa31LG6G7570,AT1G32990.1,,CARHR032330.1,Carub.0001s3129.1.p,,,gene-TAV2_LOCUS3963
AT1G13480,AT1G13480.1,,"AT1G13480.1, AT1G13470.1, AT1G13520.1",,"CARHR013820.1, CARHR013840.1","Carub.0001s1319.1.p, Carub.0001s1318.1.p, Carub.0001s1320.1.p",,,"gene-TAV2_LOCUS1864, gene-TAV2_LOCUS1857, gene-TAV2_LOCUS1856"
AT1G19540,AT1G19540.1,Aa31LG7G4200,AT1G19540.1,,CARHR020110.1,Carub.0001s1911.1.p,,,gene-TAV2_LOCUS971
CHX23,AT1G05580.1,Aa31LG1G19060,AT1G05580.1,,CARHR005080.1,Carub.0001s0491.1.p,,,gene-TAV2_LOCUS1783
AT1G03920,AT1G03920.1,,AT1G03920.1,,CARHR003260.1,Carub.0001s0307.1.p,,,gene-TAV2_LOCUS3366
AT1G11920,AT1G11920.1,Aa31LG1G2790,AT1G11920.1,,CARHR012260.1,Carub.0001s1161.1.p,,,gene-TAV2_LOCUS602
AT1G55546,AT1G55546.1,,,,,,,,
AT1G18960,AT1G18960.1,Aa31LG7G3750,AT1G18960.1,,CARHR019590.1,Carub.0001s1859.1.p,,,gene-TAV2_LOCUS3922
AT1G30290,AT1G30290.2,Aa31LG6G5450,AT1G30290.2,,CARHR029680.1,Carub.0001s2852.1.p,,,gene-TAV2_LOCUS1878
AT1G17430,AT1G17430.1,Aa31LG7G2270,AT1G17430.1,,CARHR018020.1,Carub.0001s1719.1.p,,,gene-TAV2_LOCUS2197
ATHM1,AT1G03680.1,Aa31LG1G20980,AT1G03680.1,,CARHR003010.1,Carub.0001s0278.1.p,,,gene-TAV2_LOCUS2384
RRA3,AT1G19360.1,Aa31LG7G4060,AT1G19360.1,,CARHR019950.1,Carub.0001s1895.1.p,,,gene-TAV2_LOCUS1772
TOM2A,AT1G32400.3,Aa31LG2G13610,AT1G32400.3,,CARHR031820.1,Carub.0001s3079.1.p,,,gene-TAV2_LOCUS28
AT1G43650,AT1G43650.1,Aa31LG6G9850,AT1G43650.1,,CARHR035620.1,Carub.0001s3468.1.p,,,gene-TAV2_LOCUS1834
ATRNL,AT1G07910.2,Aa31sc36G120,AT1G07910.2,,CARHR007720.1,"Carub.0001s0725.1.p, Carub.0011s0009.1.p",,,gene-TAV2_LOCUS1001
STP1,AT1G11260.1,Aa31LG1G3490,AT1G11260.1,,CARHR011500.1,Carub.0001s1089.1.p,,,
COX6B-1,AT1G22450.1,Aa31LG7G6370,AT1G22450.1,,CARHR022790.1,Carub.0001s2198.1.p,,,gene-TAV2_LOCUS2063
ATILP1,AT1G17210.1,Aa31LG4G2610,AT1G17210.1,,CARHR017790.1,Carub.0001s1696.1.p,,,gene-TAV2_LOCUS1810
CHX1,AT1G16380.1,Aa31LG7G910,AT1G16380.1,,CARHR016840.1,Carub.0001s1612.1.p,,,gene-TAV2_LOCUS3841
CURT1C,AT1G52220.1,Aa31LG10G2690,AT1G52220.1,,CARHR042350.1,Carub.0001s4119.1.p,,,gene-TAV2_LOCUS1604
AT1G21830,AT1G21830.1,Aa31LG7G5780,AT1G21830.1,,CARHR022190.1,Carub.0001s2127.1.p,,,gene-TAV2_LOCUS3039
ATL80,AT1G20823.1,Aa31LG7G4980,AT1G20823.1,,CARHR021250.1,Carub.0001s2028.1.p,,,gene-TAV2_LOCUS4031
HSP70-16,AT1G11660.3,Aa31LG1G3100,AT1G11660.3,,CARHR011970.1,Carub.0001s1130.1.p,,,gene-TAV2_LOCUS2762
